record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,lname,fname,dob,reminder,export_complete,survey_timestamp,description,survey_complete
1,event_1_arm_1,,,Test,One,2019-06-17,reminder 1,2,,record 1 event 1,0
1,event_2_arm_1,survey,1,,,,,,,record 1 event 2 a,2
1,event_2_arm_1,survey,2,,,,,,,record 1 event 2 b,2
2,event_1_arm_1,,,Test,Two,2019-06-18,reminder 2,2,,record 2 event 1,0
2,event_2_arm_1,survey,1,,,,,,,record 2 event 2 a,2
2,event_2_arm_1,survey,2,,,,,,,record 2 event 2 b,2
3,event_1_arm_1,,,Test,Three,2019-06-19,reminder 3,2,,record 3 event 1,0
3,event_2_arm_1,survey,1,,,,,,,record 3 event 2 a,2
3,event_2_arm_1,survey,2,,,,,,,record 3 event 2 b,2
4,event_1_arm_1,,,Test,Four,2019-06-20,reminder 4,2,,record 4 event 1,0
4,event_2_arm_1,survey,1,,,,,,,record 4 event 2 a,2
5,event_1_arm_1,,,Test,Five,2019-06-21,reminder 5,2,,record 5 event 1,0
5,event_2_arm_1,survey,1,,,,,,,record 5 event 2 a,2
6,event_1_arm_1,,,Test,Six,2019-06-22,reminder 6,2,,record 6 event 1,0
6,event_2_arm_1,survey,1,,,,,,,record 6 event 2 a,2
7,event_1_arm_1,,,Test,Seven,2019-06-23,reminder 7,2,,record 7 event 1,0
7,event_2_arm_1,survey,1,,,,,,,record 7 event 2 a,2
8,event_1_arm_1,,,Test,Eight,2019-06-24,reminder 8,2,,record 8 event 1,0
8,event_2_arm_1,survey,1,,,,,,,record 8 event 2 a,2
