record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,lname,fname,dob,reminder,export_complete,survey_timestamp,description,survey_complete
1,event_1_arm_1,,1,,Test,One,6/17/19,reminder 1,2,,record 1 event 1,0
1,event_1_arm_1,,2,,G,K,,,0,,,0
1,event_2_arm_1,survey,1,,,,,,,,record 1 event 2 a,2
1,event_2_arm_1,survey,2,,,,,,,,record 1 event 2 b,2
2,event_1_arm_1,,1,,Test,Two,6/18/19,reminder 2,2,,record 2 event 1,0
2,event_2_arm_1,survey,1,,,,,,,,record 2 event 2 a,2
2,event_2_arm_1,survey,2,,,,,,,,record 2 event 2 b,2
3,event_1_arm_1,,1,,Test,Three,6/19/19,reminder 3,2,,record 3 event 1,0
3,event_2_arm_1,survey,1,,,,,,,,record 3 event 2 a,2
3,event_2_arm_1,survey,2,,,,,,,,record 3 event 2 b,2
4,event_1_arm_1,,1,,Test,Four,6/20/19,reminder 4,2,,record 4 event 1,0
4,event_2_arm_1,survey,1,,,,,,,,record 4 event 2 a,2
5,event_1_arm_1,,1,,Test,Five,6/21/19,reminder 5,2,,record 5 event 1,0
5,event_2_arm_1,survey,1,,,,,,,,record 5 event 2 a,2
6,event_1_arm_1,,1,,Test,Six,6/22/19,reminder 6,2,,record 6 event 1,0
6,event_2_arm_1,survey,1,,,,,,,,record 6 event 2 a,2
7,event_1_arm_1,,1,,Test,Seven,6/23/19,reminder 7,2,,record 7 event 1,0
7,event_2_arm_1,survey,1,,,,,,,,record 7 event 2 a,2
8,event_1_arm_1,,1,,Test,Eight,6/24/19,reminder 8,2,,record 8 event 1,0
8,event_2_arm_1,survey,1,,,,,,,,record 8 event 2 a,2
